S_number,Brand,Model,Variant,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,paint_color,condition,Brand_id,Model_id,Fuel_Type_id,Transmission_id,Owner_Type_id,paint_color_id
1163,Tata,Indica,GLS BS IV     ,Pune,2007,108995,Petrol,Manual,First,15,1193,65,5,,125000,black,good,27,96,4,1,0,0
1164,Maruti,SX4,S Cross DDiS 320 Zeta   ,Chennai,2015,73000,Diesel,Manual,First,23,1598,118,5,,825000,red,good,18,155,1,1,0,8
1165,Maruti,Swift,VXI BSIII      ,Ahmedabad,2008,65000,Petrol,Manual,First,16,1298,88,5,,271000,white,good,18,169,4,1,0,10
1166,Hyundai,Xcent,1.2 Kappa SX     ,Kolkata,2016,32000,Petrol,Manual,First,19,1197,82,5,,360000,white,good,10,202,4,1,0,10
1167,Hyundai,i20,1.2 Magna      ,Ahmedabad,2010,65000,Petrol,Manual,First,19,1197,80,5,,300000,black,good,10,210,4,1,0,0
1168,Maruti,Celerio,VXI AT      ,Hyderabad,2016,21600,Petrol,Automatic,First,23,998,67,5,,465000,,good,18,42,4,0,0,-1
1169,Mercedes-Benz,New,C-Class C 220 CDI Elegance AT  ,Mumbai,2010,39000,Diesel,Automatic,First,15,2143,170,5,,950000,,good,19,118,1,0,0,-1
1170,Maruti,Swift,Dzire VXi      ,Mumbai,2011,58075,Petrol,Manual,First,18,1298,86,5,,295000,white,good,18,169,4,1,0,10
1171,Volkswagen,Vento,Petrol Trendline      ,Mumbai,2011,58000,Petrol,Manual,First,15,1598,104,5,,300000,silver,good,29,181,4,1,0,9
1172,Maruti,Swift,ZDi       ,Hyderabad,2015,58000,Diesel,Manual,First,25,1248,74,5,,595000,white,,18,169,1,1,0,10
1173,Toyota,Corolla,Altis VL      ,Delhi,2008,89000,Petrol,Automatic,First,15,1798,138,5,,400000,black,good,28,51,4,0,0,0
1174,Honda,Civic,2006-2010 1.8 V MT    ,Delhi,2008,72000,Petrol,Manual,First,14,1799,130,5,,250000,white,,9,45,4,1,0,10
1175,Ford,EcoSport,1.5 Ti VCT AT Titanium BE  ,Kolkata,2017,1800,Petrol,Automatic,First,16,1499,110,5,,1137000,white,good,8,62,4,0,0,10
1176,Fiat,Linea,Emotion Pack (Diesel)     ,Pune,2010,172050,Diesel,Manual,Second,19,1248,93,5,,225000,white,good,6,107,1,1,2,10
1177,Hyundai,i10,Era       ,Jaipur,2013,46230,Petrol,Manual,First,20,1086,68,5,,310000,silver,good,10,209,4,1,0,9
1178,Volvo,XC60,D5 Inscription      ,Kochi,2014,86925,Diesel,Automatic,First,11,2400,215,5,,1718000,black,good,30,195,1,0,0,0
1179,Hyundai,i20,1.2 Asta      ,Jaipur,2018,5000,Petrol,Manual,First,19,1197,82,5,,650000,silver,good,10,210,4,1,0,9
1180,Honda,City,i DTEC S     ,Ahmedabad,2014,66000,Diesel,Manual,First,26,1498,99,5,,570000,black,good,9,44,1,1,0,0
1181,Toyota,Innova,2.5 VX (Diesel) 8 Seater BS IV ,Ahmedabad,2013,119000,Diesel,Manual,First,13,2494,100,8,,800000,white,good,28,98,1,1,0,10
1182,Renault,KWID,RXT       ,Chennai,2016,45000,Petrol,Manual,First,25,799,53,5,,260000,brown,good,24,103,4,1,0,2
1183,Maruti,A-Star,Vxi       ,Hyderabad,2009,66149,Petrol,Manual,First,19,998,66,5,,245000,,good,18,8,4,1,0,-1
1184,Mercedes-Benz,B,Class B180      ,Kochi,2014,42070,Petrol,Automatic,First,15,1595,121,5,,1157000,silver,good,19,22,4,0,0,9
1185,Maruti,Wagon R,LXI BS IV    ,Kolkata,2012,35503,Petrol,Manual,First,19,998,67,5,,229999,grey,good,18,189,4,1,0,5
1186,Maruti,Swift,VDI BSIV      ,Jaipur,2016,41460,Diesel,Manual,First,25,1248,74,5,,590000,grey,good,18,169,1,1,0,5
1187,Hyundai,Verna,VTVT 1.6 AT SX Option   ,Mumbai,2015,40600,Petrol,Automatic,First,17,1591,121,5,15.14 Lakh,720000,blue,good,10,184,4,0,0,1
1188,Hyundai,Verna,CRDi 1.6 AT SX Option   ,Ahmedabad,2013,87000,Diesel,Automatic,First,22,1582,126,5,15.72 Lakh,590000,white,excellent,10,184,1,0,0,10
1189,Honda,City,V MT      ,Chennai,2014,30000,Petrol,Manual,Second,17,1497,116,5,,600000,white,good,9,44,4,1,2,10
1190,Hyundai,i10,Magna Optional 1.1L     ,Kolkata,2010,27089,Petrol,Manual,First,16,1086,67,5,,195000,blue,,10,209,4,1,0,1
1191,Toyota,Etios,GD SP      ,Coimbatore,2016,53702,Diesel,Manual,First,24,1364,67,5,,655000,black,,28,72,1,1,0,0
1192,Volvo,S60,D4 Momentum      ,Hyderabad,2015,51000,Diesel,Automatic,First,27,1969,190,5,45.67 Lakh,2500000,,,30,150,1,0,0,-1
1193,Ford,Figo,Diesel EXI      ,Kolkata,2012,36542,Diesel,Manual,First,20,1399,68,5,,265000,black,,8,77,1,1,0,0
1194,Mercedes-Benz,E-Class,2015-2017 E350 CDI Avantgrade    ,Mumbai,2017,15000,Diesel,Automatic,First,13,2987,265,5,,6950000,black,,19,60,1,0,0,0
1195,BMW,3,Series 320d Luxury Line    ,Chennai,2012,65000,Diesel,Automatic,First,23,1995,190,5,54.7 Lakh,1400000,white,,2,2,1,0,0,10
1196,Maruti,Alto,800 VXI      ,Pune,2014,32000,Petrol,Manual,Second,23,796,47,5,,210000,silver,good,18,15,4,1,2,9
1197,Toyota,Innova,Crysta 2.4 VX MT    ,Hyderabad,2017,24393,Diesel,Manual,First,14,2393,148,7,22.87 Lakh,2039999,black,,28,98,1,1,0,0
1198,Volkswagen,Polo,1 MPI Trendline     ,Hyderabad,2019,1000,Petrol,Manual,First,19,999,75,5,6.74 Lakh,568000,white,good,29,131,4,1,0,10
1199,Nissan,Terrano,XL       ,Mumbai,2014,28238,Petrol,Manual,First,13,1598,103,5,,555000,silver,good,22,174,4,1,0,9
1200,Mitsubishi,Pajero,Sport 4X4      ,Mumbai,2013,59000,Diesel,Manual,First,14,2477,176,7,33.09 Lakh,1275000,silver,good,21,126,1,1,0,9
1201,Honda,Civic,2010-2013 1.8 S MT    ,Mumbai,2012,92000,Petrol,Manual,Second,15,1799,130,5,,335000,black,good,9,45,4,1,2,0
1202,Maruti,Alto,800 LXI      ,Kolkata,2013,56840,Petrol,Manual,First,23,796,47,5,,155000,white,good,18,15,4,1,0,10
1203,Volkswagen,Vento,Diesel Highline      ,Coimbatore,2013,62746,Diesel,Manual,Second,21,1598,104,5,,590000,white,good,29,181,1,1,2,10
1204,Land,Rover,Freelander 2 HSE     ,Hyderabad,2012,96000,Diesel,Automatic,First,12,2179,188,5,,1898000,white,excellent,16,146,1,0,0,10
1205,Honda,CR-V,2.0L 2WD MT     ,Mumbai,2014,24000,Petrol,Manual,First,14,1997,154,5,,1151000,black,good,9,35,4,1,0,0
1206,Maruti,Ertiga,VDI       ,Mumbai,2016,54000,Diesel,Manual,First,21,1248,89,7,,775000,white,good,18,69,1,1,0,10
1207,Toyota,Innova,2.5 GX (Diesel) 7 Seater   ,Chennai,2016,90000,Diesel,Manual,First,13,2494,101,7,,1390000,red,good,28,98,1,1,0,8
1208,Tata,Manza,Aura Safire      ,Kolkata,2010,40000,Petrol,Manual,First,15,1368,90,5,,135000,grey,excellent,27,112,4,1,0,5
1209,Audi,Q7,35 TDI Quattro Premium Plus   ,Mumbai,2015,65938,Diesel,Automatic,Second,12,2967,241,7,,3800000,blue,excellent,1,137,1,0,2,1
1210,Hyundai,Verna,1.6 SX VTVT (O) AT   ,Mumbai,2017,16100,Petrol,Automatic,First,17,1591,121,5,,1160000,white,excellent,10,184,4,0,0,10
1211,Volkswagen,Vento,1.5 Highline Plus AT 16 Alloy  ,Hyderabad,2017,3600,Diesel,Automatic,First,22,1498,109,5,,1225000,silver,excellent,29,181,1,0,0,9
1212,Honda,City,1.5 S MT     ,Jaipur,2011,52000,Petrol,Manual,First,17,1497,118,5,,380000,white,good,9,44,4,1,0,10
1213,Ford,Figo,Diesel Titanium      ,Mumbai,2014,54000,Diesel,Manual,First,20,1399,68,5,,325000,white,good,8,77,1,1,0,10
1214,Honda,Jazz,1.2 VX i VTEC    ,Mumbai,2016,15399,Petrol,Manual,First,19,1199,89,5,,640000,blue,good,9,99,4,1,0,1
1215,Volkswagen,Polo,Petrol Highline 1.2L     ,Bangalore,2012,75000,Petrol,Manual,Second,16,1198,74,5,,395000,silver,good,29,131,4,1,2,9
1216,Honda,City,i-VTEC S      ,Delhi,2010,76752,Petrol,Manual,First,17,1497,117,5,,357000,white,excellent,9,44,4,1,0,10
1217,Honda,City,ZX GXi      ,Mumbai,2005,56000,Petrol,Manual,Second,18,1497,78,5,,125000,,like new,9,44,4,1,2,-1
1218,Maruti,Wagon R,LXI CNG     ,Pune,2015,70000,CNG,Manual,First,26,998,58,5,,365000,white,good,18,189,0,1,0,10
1219,Honda,CR-V,2.4L 4WD AT AVN    ,Kolkata,2013,46125,Petrol,Automatic,Second,12,2354,187,5,,1250000,brown,like new,9,35,4,0,2,2
1220,BMW,5,Series 2013-2017 520d Luxury Line   ,Ahmedabad,2014,35000,Diesel,Automatic,Second,18,1995,190,5,,2300000,silver,excellent,2,3,1,0,2,9
1221,Ambassador,Classic,Nova Diesel      ,Chennai,2003,80000,Diesel,Manual,Third,13,1489,36,5,,135000,grey,like new,0,46,1,1,3,5
1222,Mahindra,Scorpio,VLX 2.2 mHawk BSIII    ,Coimbatore,2012,62729,Diesel,Manual,First,12,2179,120,8,,632000,white,excellent,17,161,1,1,0,10
1223,Volkswagen,Vento,Diesel Comfortline      ,Kolkata,2012,34000,Diesel,Manual,First,21,1598,104,5,,340000,blue,good,29,181,1,1,0,1
1224,Maruti,Zen,VX       ,Jaipur,1999,70000,Petrol,Manual,Second,17,993,60,5,,77000,,good,18,207,4,1,2,-1
1225,Maruti,800,DX BSII      ,Jaipur,2009,32000,Petrol,Manual,First,16,796,37,4,,90000,silver,good,18,6,4,1,0,9
1226,Toyota,Corolla,Altis 1.8 VL CVT    ,Delhi,2017,21000,Petrol,Automatic,First,14,1798,138,5,23.25 Lakh,1800000,silver,good,28,51,4,0,0,9
1227,BMW,3,Series 328i Sport Line    ,Pune,2013,49000,Petrol,Automatic,First,15,1997,245,5,,1900000,white,good,2,2,4,0,0,10
1228,Ford,Ikon,1.3 Flair      ,Chennai,2007,40000,Petrol,Manual,Third,14,1299,70,5,,110000,black,good,8,95,4,1,3,0
1229,Chevrolet,Beat,LT       ,Pune,2012,78000,Petrol,Manual,Second,19,1199,79,5,,200000,,good,4,26,4,1,2,-1
1230,Toyota,Corolla,Altis 1.4 DG     ,Ahmedabad,2012,52000,Diesel,Manual,First,21,1364,87,5,19.27 Lakh,650000,,good,28,51,1,1,0,-1
1231,Mahindra,XUV500,W4       ,Bangalore,2014,65213,Diesel,Manual,First,16,2179,140,7,,944999,white,good,17,201,1,1,0,10
1232,Hyundai,Xcent,1.1 CRDi Base     ,Mumbai,2016,170000,Diesel,Manual,First,24,1120,71,5,,400000,red,good,10,202,1,1,0,8
1233,Mercedes-Benz,E-Class,2015-2017 E250 CDI Avantgarde    ,Kochi,2017,36884,Diesel,Automatic,First,13,2143,204,5,,3225000,white,good,19,60,1,0,0,10
1234,Hyundai,i10,Sportz       ,Pune,2009,62500,Petrol,Manual,First,20,1197,79,5,,210000,red,good,10,209,4,1,0,8
1235,Toyota,Corolla,Altis VL AT     ,Mumbai,2015,68000,Petrol,Automatic,Second,14,1798,138,5,,975000,red,good,28,51,4,0,2,8
1236,Toyota,Corolla,1.8 J      ,Kolkata,2014,40748,Petrol,Manual,First,15,1798,138,5,,630000,silver,good,28,51,4,1,0,9
1237,Audi,Q3,2 TDI Quattro     ,Hyderabad,2013,60000,Diesel,Automatic,First,17,1968,184,5,,2100000,,good,1,135,1,0,0,-1
1238,Hyundai,i20,Magna Optional 1.4 CRDi    ,Mumbai,2014,12400,Diesel,Manual,First,22,1396,89,5,,465000,white,good,10,210,1,1,0,10
1239,Mercedes-Benz,New,C-Class C 220d Avantgarde Edition C  ,Mumbai,2013,87000,Diesel,Automatic,Second,19,2143,168,5,,1700000,red,fair,19,118,1,0,2,8
1240,Maruti,Ritz,VDi       ,Pune,2013,20248,Diesel,Manual,First,21,1248,74,5,,434999,white,,18,145,1,1,0,10
1241,Hyundai,Creta,1.6 SX Plus Diesel    ,Coimbatore,2017,52383,Diesel,Manual,First,20,1582,126,5,,1482000,grey,excellent,10,53,1,1,0,5
1242,Jaguar,XE,2.0L Diesel Prestige     ,Delhi,2018,1000,Diesel,Automatic,First,14,1999,177,5,52.77 Lakh,4000000,red,good,13,197,1,0,0,8
1243,Mahindra,Xylo,D4       ,Chennai,2016,85000,Diesel,Manual,First,15,2489,94,7,11.67 Lakh,615000,grey,good,17,204,1,1,0,5
1244,Toyota,Innova,2.5 G (Diesel) 7 Seater   ,Ahmedabad,2014,47000,Diesel,Manual,First,13,2494,101,7,,1125000,,good,28,98,1,1,0,-1
1245,Toyota,Camry,2.5 Hybrid      ,Pune,2018,17585,Petrol,Automatic,First,19,2494,158,5,,3200000,white,,28,36,4,0,0,10
1246,Audi,Q5,3 TDI Quattro     ,Coimbatore,2018,32496,Diesel,Automatic,First,13,2967,241,5,,4562000,red,good,1,136,1,0,0,8
1247,Maruti,Swift,VDI       ,Kochi,2017,34613,Diesel,Manual,First,28,1248,74,5,7.92 Lakh,624000,black,good,18,169,1,1,0,0
1248,Maruti,Ertiga,VDI Limited Edition     ,Chennai,2015,153000,Diesel,Manual,First,21,1248,89,7,,480000,red,good,18,69,1,1,0,8
1249,Maruti,Swift,VXi BSIV      ,Chennai,2014,54000,Petrol,Manual,Second,16,1197,85,5,,450000,white,good,18,169,4,1,2,10
1250,Hyundai,i10,Sportz       ,Kochi,2015,16900,Petrol,Manual,First,20,1197,79,5,,387000,silver,,10,209,4,1,0,9
1251,Hyundai,i10,Sportz       ,Delhi,2013,62334,Petrol,Manual,First,20,1197,79,5,,275000,white,excellent,10,209,4,1,0,10
1252,Maruti,Baleno,Sigma 1.2      ,Kochi,2018,23714,Petrol,Manual,First,21,1197,83,5,,657000,,,18,25,4,1,0,-1
1253,Hyundai,Aent,Executive       ,Jaipur,2010,52325,Petrol,Manual,First,16,1495,94,5,,200000,green,fair,10,14,4,1,0,4
1254,Honda,Brio,S MT      ,Ahmedabad,2012,50000,Petrol,Manual,First,19,1198,87,5,,365000,,fair,9,31,4,1,0,-1
1255,Maruti,Swift,ZDi       ,Hyderabad,2016,55746,Diesel,Manual,First,23,1248,74,5,,695000,,,18,169,1,1,0,-1
1256,Hyundai,Xcent,1.2 VTVT S     ,Bangalore,2014,54000,Petrol,Manual,First,20,1197,82,5,7.85 Lakh,550000,,,10,202,4,1,0,-1
1257,Mahindra,XUV500,W8 2WD      ,Kolkata,2013,43000,Diesel,Manual,First,16,2179,140,7,,700000,blue,,17,201,1,1,0,1
1258,Mercedes-Benz,E-Class,E250 CDI Avantgrade     ,Delhi,2014,40000,Diesel,Automatic,First,13,2143,201,5,,2400000,,,19,60,1,0,0,-1
1259,Land,Rover,Freelander 2 TD4 S    ,Bangalore,2010,125000,Diesel,Automatic,Second,0,2179,115,5,,1100000,,,16,146,1,0,2,-1
1260,Mercedes-Benz,New,C-Class C 220 CDI Avantgarde   ,Bangalore,2016,51944,Diesel,Automatic,First,19,2143,170,5,,3250000,,,19,118,1,0,0,-1
1261,Hyundai,i20,Asta 1.4 CRDi     ,Kochi,2015,46950,Diesel,Manual,First,21,1396,89,5,,645000,grey,,10,210,1,1,0,5
1262,Skoda,Octavia,Elegance 2 TDI AT    ,Mumbai,2015,23000,Diesel,Automatic,First,19,1968,141,5,,1575000,black,good,25,121,1,0,0,0
1263,Honda,City,1.5 S MT     ,Mumbai,2014,54546,Petrol,Manual,First,17,1497,118,5,,550000,,,9,44,4,1,0,-1
1264,Toyota,Fortuner,4x2 AT      ,Kochi,2015,51535,Diesel,Automatic,First,13,2982,169,7,,1903000,silver,good,28,79,1,0,0,9
1265,Audi,Q3,2 TDI Quattro     ,Kolkata,2013,45000,Diesel,Automatic,First,17,1968,184,5,,1525000,white,good,1,135,1,0,0,10
1266,Maruti,Alto,K10 2010-2014 VXI     ,Hyderabad,2012,46004,Petrol,Manual,First,21,998,67,5,,240000,,,18,15,4,1,0,-1
1267,Tata,Indigo,eCS LX BSIV     ,Chennai,2011,124000,Diesel,Manual,First,23,1396,69,5,,229999,green,good,27,97,1,1,0,4
1268,Audi,A4,2 TDI 177  Premium Plus  ,Kochi,2014,77395,Diesel,Automatic,First,17,1968,174,5,,1435000,silver,good,1,10,1,0,0,9
1269,Maruti,Alto,800 2016-2019 CNG LXI    ,Mumbai,2018,10600,CNG,Manual,First,33,796,40,4,,350000,white,good,18,15,0,1,0,10
1270,Honda,City,i-VTEC CVT VX     ,Kochi,2018,22974,Petrol,Automatic,First,18,1497,117,5,15.55 Lakh,1197000,blue,good,9,44,4,0,0,1
1271,Hyundai,Santro,GLS I - Euro II   ,Jaipur,2009,89000,Petrol,Manual,Second,0,999,null ,5,,160000,silver,good,10,159,4,1,2,9
1272,Toyota,Fortuner,2.8 2WD MT     ,Ahmedabad,2015,65012,Diesel,Manual,First,14,2755,175,7,32.45 Lakh,1889999,silver,good,28,79,1,1,0,9
1273,Hyundai,Grand,i10 Sportz      ,Ahmedabad,2017,17125,Petrol,Manual,First,19,1197,82,5,,540000,white,good,10,91,4,1,0,10
1274,Maruti,Eeco,7 Seater Standard     ,Hyderabad,2015,90413,Petrol,Manual,First,15,1196,73,7,4.83 Lakh,295000,black,good,18,64,4,1,0,0
1275,Volkswagen,Polo,Petrol Highline 1.2L     ,Bangalore,2013,37000,Petrol,Manual,First,16,1198,74,5,,509999,,good,29,131,4,1,0,-1
1276,Maruti,Wagon R,LXI Minor     ,Jaipur,2006,65000,Petrol,Manual,First,19,1061,67,5,,150000,white,good,18,189,4,1,0,10
1277,Honda,City,1.5 V MT     ,Bangalore,2011,66000,Petrol,Manual,First,17,1497,118,5,,490000,blue,,9,44,4,1,0,1
1278,Honda,Civic,2010-2013 1.8 S MT    ,Mumbai,2010,86000,Petrol,Manual,First,15,1799,130,5,,290000,silver,like new,9,45,4,1,0,9
1279,Honda,City,1.5 EXI      ,Pune,2005,98437,Petrol,Manual,First,13,1493,100,5,,114999,silver,like new,9,44,4,1,0,9
1280,Hyundai,i20,1.2 Magna      ,Kolkata,2010,18000,Petrol,Manual,First,19,1197,80,5,,229999,,good,10,210,4,1,0,-1
1281,Hyundai,Grand,i10 CRDi Sportz Celebration Edition   ,Kochi,2018,35070,Diesel,Manual,First,24,1120,70,5,,599000,white,good,10,91,1,1,0,10
1282,Volkswagen,Vento,Petrol Highline AT     ,Pune,2011,42000,Petrol,Automatic,Third,14,1598,104,5,,340000,black,good,29,181,4,0,3,0
1283,Hyundai,i10,Sportz 1.2      ,Kolkata,2009,40000,Petrol,Manual,First,20,1197,79,5,,170000,black,good,10,209,4,1,0,0
1284,Hyundai,i20,Asta       ,Kolkata,2009,43000,Petrol,Manual,First,17,1197,80,5,,199000,white,good,10,210,4,1,0,10
1285,Chevrolet,Beat,LS       ,Pune,2012,65000,Petrol,Manual,First,19,1199,79,5,,250000,white,good,4,26,4,1,0,10
1286,Volkswagen,Polo,Diesel Highline 1.2L     ,Hyderabad,2013,74000,Diesel,Manual,First,22,1199,74,5,,484999,white,good,29,131,1,1,0,10
1287,Ford,Figo,Petrol LXI      ,Hyderabad,2010,51192,Petrol,Manual,First,16,1196,70,5,,265000,silver,good,8,77,4,1,0,9
1288,Audi,TT,2 TFSI      ,Kochi,2014,14262,Petrol,Automatic,First,10,1984,208,2,,2735000,white,good,1,170,4,0,0,10
1289,Honda,City,i DTEC VX     ,Jaipur,2015,66339,Diesel,Manual,Second,25,1498,99,5,,690000,silver,good,9,44,1,1,2,9
1290,Ford,Figo,Diesel Titanium      ,Hyderabad,2013,90200,Diesel,Manual,First,20,1399,68,5,,350000,silver,good,8,77,1,1,0,9
1291,Toyota,Innova,2.5 ZX Diesel 7 Seater   ,Delhi,2015,57854,Diesel,Manual,First,13,2494,101,7,,1250000,red,good,28,98,1,1,0,8
1292,Maruti,Ciaz,1.4 AT Alpha     ,Delhi,2017,32000,Petrol,Automatic,First,19,1373,91,5,,919999,,,18,43,4,0,0,-1
1293,Hyundai,Grand,i10 AT Asta     ,Mumbai,2015,29631,Petrol,Automatic,First,19,1197,82,5,,490000,white,excellent,10,91,4,0,0,10
1294,Honda,City,1.3 DX      ,Delhi,2009,55005,Petrol,Manual,First,13,,,,,320000,,good,9,44,4,1,0,-1
1295,Ford,EcoSport,1 Ecoboost Titanium Plus BE   ,Kochi,2014,54173,Petrol,Manual,First,19,999,123,5,,555000,white,good,8,62,4,1,0,10
1296,Skoda,Octavia,Ambition 1.8 TSI AT    ,Ahmedabad,2014,50000,Petrol,Automatic,First,15,1798,178,5,,1350000,black,good,25,121,4,0,0,0
1297,Fiat,Linea,Emotion (Diesel)      ,Kolkata,2010,145000,Diesel,Manual,First,20,1248,92,5,,260000,,good,6,107,1,1,0,-1
1298,Maruti,Swift,Lxi BSIII      ,Jaipur,2015,78000,Petrol,Manual,First,16,1298,88,5,,450000,black,excellent,18,169,4,1,0,0
1299,Land,Rover,Discovery 4 TDV6 SE    ,Delhi,2013,65000,Diesel,Automatic,Second,12,2993,180,7,,3400000,black,excellent,16,146,1,0,2,0
1300,Toyota,Innova,2.5 V Diesel 7-seater    ,Hyderabad,2012,120000,Diesel,Manual,First,13,2494,102,7,,1200000,black,,28,98,1,1,0,0
1301,Maruti,Swift,LDI       ,Mumbai,2015,14000,Diesel,Manual,First,28,1248,74,5,7.13 Lakh,525000,black,good,18,169,1,1,0,0
1302,Audi,A6,2011-2015 2 TDI Premium Plus   ,Kochi,2014,57456,Diesel,Automatic,First,18,1968,174,5,,2156000,grey,good,1,11,1,0,0,5
1303,BMW,5,Series 520d Luxury Line    ,Coimbatore,2012,44450,Diesel,Automatic,First,22,1995,190,5,71.82 Lakh,2468000,black,good,2,3,1,0,0,0
1304,Hyundai,i20,Magna Optional 1.2     ,Delhi,2013,63777,Petrol,Manual,First,19,1197,83,5,,367000,,good,10,210,4,1,0,-1
1305,BMW,X1,M Sport sDrive 20d    ,Mumbai,2016,31000,Diesel,Automatic,First,17,1995,190,5,50.97 Lakh,2950000,white,good,2,191,1,0,0,10
1306,Toyota,Etios,G       ,Delhi,2012,60000,Petrol,Manual,First,18,1496,89,5,,310000,white,good,28,72,4,1,0,10
1307,Tata,Indigo,LX       ,Ahmedabad,2015,78008,Diesel,Manual,First,17,1405,70,5,,290000,silver,good,27,97,1,1,0,9
1308,Mercedes-Benz,M-Class,ML 350 4Matic     ,Bangalore,2014,33000,Diesel,Automatic,Second,0,2987,165,5,,4300000,white,good,19,110,1,0,2,10
1309,Volkswagen,Beetle,2,Mumbai,2009,27078,Petrol,Automatic,First,11,1984,114,4,,1595000,white,good,29,27,4,0,0,10
1310,Volkswagen,Polo,GT TDI      ,Hyderabad,2011,57275,Diesel,Manual,First,20,1598,104,5,,450000,brown,good,29,131,1,1,0,2
1311,Hyundai,Grand,i10 CRDi Magna     ,Delhi,2014,45000,Diesel,Manual,First,24,1120,70,5,,349000,black,good,10,91,1,1,0,0
1312,Maruti,Swift,VDI BSIV      ,Delhi,2014,57319,Diesel,Manual,First,25,1248,74,5,,425000,silver,good,18,169,1,1,0,9
1313,Hyundai,Verna,CRDi 1.4 E     ,Chennai,2008,121097,Diesel,Manual,Second,24,1396,89,5,10.73 Lakh,190000,grey,,10,184,1,1,2,5
1314,BMW,5,Series 2003-2012 525d     ,Mumbai,2011,89000,Diesel,Automatic,First,17,1995,218,5,,1657000,black,good,2,3,1,0,0,0
1315,Honda,City,1.5 S MT     ,Bangalore,2012,72000,Petrol,Manual,First,17,1497,118,5,,575000,,good,9,44,4,1,0,-1
1316,Audi,A4,2 TDI      ,Delhi,2013,36000,Diesel,Automatic,Second,17,1968,148,5,,1400000,white,good,1,10,1,0,2,10
1317,Fiat,Linea,Classic Plus 1.3 Multijet    ,Jaipur,2013,86000,Diesel,Manual,Second,20,1248,75,5,9.5 Lakh,250000,red,good,6,107,1,1,2,8
1318,Honda,City,1.3 EXI      ,Ahmedabad,2002,85000,Petrol,Manual,First,13,1343,90,5,,120000,brown,good,9,44,4,1,0,2
1319,Fiat,Petra,1.2 EL      ,Pune,2005,120000,Petrol,Manual,Second,16,1242,null ,5,,85000,silver,,6,129,4,1,2,9
1320,BMW,3,Series 320d Luxury Line    ,Kochi,2013,37613,Diesel,Automatic,First,23,1995,190,5,52.46 Lakh,1395000,white,good,2,2,1,0,0,10
1321,Ford,Fiesta,1.4 Duratec EXI     ,Chennai,2007,100000,Petrol,Manual,First,17,1388,68,5,,160000,black,good,8,76,4,1,0,0
1322,Tata,Nano,XTA       ,Coimbatore,2016,5240,Petrol,Automatic,First,22,624,37,4,,360000,silver,good,27,117,4,0,0,9
1323,Maruti,Eeco,5 STR With AC Plus HTR CNG ,Mumbai,2018,20000,CNG,Manual,First,15,1196,73,5,,450000,blue,good,18,64,0,1,0,1
1324,Maruti,Ignis,1.2 Delta      ,Coimbatore,2019,16862,Petrol,Manual,First,21,1197,82,5,6.07 Lakh,606000,,good,18,94,4,1,0,-1
1325,Maruti,Swift,Dzire ZXi      ,Coimbatore,2013,59254,Petrol,Manual,Second,18,1298,86,5,,529000,black,good,18,169,4,1,2,0
1326,Ford,Ecosport,1.5 DV5 MT Titanium    ,Jaipur,2014,60000,Diesel,Manual,First,23,1498,90,5,,575000,white,good,8,63,1,1,0,10
1327,Maruti,Swift,1.3 ZXI      ,Hyderabad,2015,50295,Petrol,Manual,First,16,,,,,580000,white,good,18,169,4,1,0,10
1328,Maruti,Swift,Dzire VXI      ,Coimbatore,2014,47674,Petrol,Manual,First,19,1197,86,5,,572000,white,good,18,169,4,1,0,10
1329,Hyundai,i10,Sportz AT      ,Kochi,2014,61517,Petrol,Automatic,First,17,1197,79,5,,438999,white,good,10,209,4,0,0,10
1330,Mahindra,XUV500,W6 2WD      ,Coimbatore,2016,62946,Diesel,Manual,First,15,2179,140,7,,1105000,white,good,17,201,1,1,0,10
1331,Hyundai,i20,Magna 1.4 CRDi     ,Delhi,2015,66823,Diesel,Manual,Second,23,1396,89,5,,483000,blue,good,10,210,1,1,2,1
1332,Maruti,Wagon R,R CNG LXI     ,Pune,2013,79494,CNG,Manual,First,34,998,67,5,5.54 Lakh,296000,white,,18,189,0,1,0,10
1333,Hyundai,i20,Asta 1.4 CRDi     ,Chennai,2012,107000,Diesel,Manual,Second,21,1396,89,5,,450000,white,good,10,210,1,1,2,10
1334,BMW,7,Series 730Ld      ,Mumbai,2011,55000,Diesel,Automatic,Second,16,2993,258,5,,1950000,red,good,2,5,1,0,2,8
1335,Skoda,Rapid,1.6 MPI AT Style Plus   ,Mumbai,2017,24000,Petrol,Automatic,First,14,1598,104,5,,875000,white,good,25,142,4,0,0,10
1336,Audi,Q7,45 TDI Quattro Technology    ,Mumbai,2016,20002,Diesel,Automatic,First,15,2967,245,7,1.04 Cr,6700000,,good,1,137,1,0,0,-1
1337,Honda,City,i VTEC VX     ,Kochi,2016,54317,Petrol,Manual,First,17,1497,117,5,,840000,white,good,9,44,4,1,0,10
1338,Hyundai,Xcent,1.2 Kappa SX     ,Mumbai,2016,10200,Petrol,Manual,First,19,1197,82,5,,499000,black,good,10,202,4,1,0,0
1339,Honda,City,i DTec E     ,Coimbatore,2016,24337,Diesel,Manual,First,26,1498,99,5,,818000,white,good,9,44,1,1,0,10
